Rank,User,Score
1,jemsbhai,25
2,Scub3d,24
3,sidharthapar,23
3,foa,23
5,Gchorba,21
5,averylamp,21
7,cyrusroshan,20
7,yosun,20
9,iStackSoftware,19
9,chriswoodle,19
11,wynd07,18
11,ptarsoly,18
13,timotius,17
14,KristaShuckerow,16
14,Nyceane,16
14,kipply,16
17,pav920,15
17,caelooney,15
17,simplyianm,15
17,ndneighbor,15
17,cwille2012,15
22,christopherjwang,14
22,DarthAnakin,14
22,alastairparagas,14
22,Dranithix,14
26,bkrockx,13
26,skarthik,13
26,sourav26721062,13
26,pandelis,13
26,renxinhe,13
26,TomaszF1,13
26,TheCurryMan,13
26,CoolioXLR,13
26,DhanushP,13
35,atmaram,12
35,YolBolsun1,12
35,schottmv,12
35,mayerja,12
35,eronhistorion,12
35,AndrewNg,12
35,nathangitter,12
35,KerlinMichel,12
35,mfajet,12
35,BrianCottrell,12
45,mrmoodoo,11
45,Paden,11
45,zatchry,11
45,AngelSchatz,11
45,axtonandy,11
45,ClydeWallace,11
45,ijoosong,11
45,IsaiahJTurner,11
45,hackerbacker,11
45,relisher,11
45,inhibitus,11
45,k-yang,11
45,MaxBareiss,11
45,akshaya19,11
45,terje,11
45,mdni007,11
45,chrtr,11
45,Jovl,11
45,annabellesan,11
64,sabard,10
64,fhinson,10
64,adarshu,10
64,ztan,10
64,mcdonaldca,10
64,earlda,10
64,aakashadesara,10
64,whodotcom,10
64,chrisfrederickson,10
64,fleker,10
64,simonguozirui,10
64,LanceNanek,10
64,ajabot,10
64,judithsmilingeyes,10
64,yg2545,10
64,dylanch,10
64,eToThePiIPower,10
64,iYung,10
64,The-Real-Taylor-Swift,10
64,Vingkan,10
84,kenliz,9
84,gandhi123,9
84,gurupreet,9
84,mclayto,9
84,JesseHu,9
84,gpop,9
84,scottopell,9
84,jteplitz602,9
84,dhammer67,9
84,mkausas,9
84,gabiz,9
84,pranjaldaga,9
84,j4cobj,9
84,kveca,9
84,jaredsmith,9
84,AdilVirani,9
84,AnishKannan,9
