Rank,User,Score
1,jemsbhai,32
2,chriswoodle,26
3,Scub3d,24
4,sidharthapar,23
4,foa,23
6,cwille2012,22
7,Gchorba,21
7,ptarsoly,21
7,averylamp,21
10,cyrusroshan,20
10,yosun,20
12,iStackSoftware,19
13,wynd07,18
14,timotius,17
15,KristaShuckerow,16
15,Nyceane,16
15,kipply,16
18,pav920,15
18,caelooney,15
18,simplyianm,15
18,ndneighbor,15
22,christopherjwang,14
22,DarthAnakin,14
22,alastairparagas,14
22,Dranithix,14
26,bkrockx,13
26,skarthik,13
26,sourav26721062,13
26,pandelis,13
26,renxinhe,13
26,TomaszF1,13
26,TheCurryMan,13
26,CoolioXLR,13
26,DhanushP,13
35,atmaram,12
35,YolBolsun1,12
35,schottmv,12
35,mayerja,12
35,eronhistorion,12
35,AndrewNg,12
35,nathangitter,12
35,KerlinMichel,12
35,mfajet,12
35,BrianCottrell,12
35,zenesys,12
46,mrmoodoo,11
46,Paden,11
46,zatchry,11
46,AngelSchatz,11
46,axtonandy,11
46,ClydeWallace,11
46,ijoosong,11
46,IsaiahJTurner,11
46,hackerbacker,11
46,relisher,11
46,inhibitus,11
46,k-yang,11
46,MaxBareiss,11
46,akshaya19,11
46,terje,11
46,mdni007,11
46,chrtr,11
46,Jovl,11
46,annabellesan,11
65,sabard,10
65,fhinson,10
65,adarshu,10
65,ztan,10
65,mcdonaldca,10
65,earlda,10
65,aakashadesara,10
65,whodotcom,10
65,chrisfrederickson,10
65,fleker,10
65,simonguozirui,10
65,LanceNanek,10
65,ajabot,10
65,judithsmilingeyes,10
65,yg2545,10
65,dylanch,10
65,eToThePiIPower,10
65,iYung,10
65,The-Real-Taylor-Swift,10
65,Vingkan,10
85,kenliz,9
85,gandhi123,9
85,gurupreet,9
85,mclayto,9
85,JesseHu,9
85,gpop,9
85,scottopell,9
85,jteplitz602,9
85,dhammer67,9
85,mkausas,9
85,gabiz,9
85,pranjaldaga,9
85,j4cobj,9
85,kveca,9
85,jaredsmith,9
85,AdilVirani,9
